"id","ship_mode","segment","country","city","state","postal_code","region","category","sub_category","sales","quantity","discount","profit"
2028,"Standard Class","Consumer","United States","Los Angeles","California",90036,"West","Office Supplies","Paper",19.44,3,0,9.3312
1570,"Standard Class","Consumer","United States","Phoenix","Arizona",85023,"West","Office Supplies","Art",2.304,1,0.2,0.2592
7231,"Standard Class","Corporate","United States","New York City","New York",10009,"East","Technology","Accessories",26,2,0,11.7
2673,"First Class","Consumer","United States","Wilmington","North Carolina",28403,"South","Office Supplies","Paper",10.816,4,0.2,3.5152
3029,"Standard Class","Corporate","United States","Dallas","Texas",75220,"Central","Furniture","Furnishings",14.76,5,0.6,-11.439
1410,"First Class","Home Office","United States","Salem","Oregon",97301,"West","Technology","Accessories",112.776,3,0.2,-8.4582
3774,"Second Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Binders",11.808,2,0.2,4.2804
4528,"Standard Class","Home Office","United States","Elmhurst","Illinois",60126,"Central","Furniture","Chairs",634.116,6,0.3,-172.1172
5368,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Art",23.65,1,0,6.149
2567,"Standard Class","Corporate","United States","Los Angeles","California",90032,"West","Technology","Accessories",159.96,4,0,51.1872
5403,"First Class","Consumer","United States","Little Rock","Arkansas",72209,"South","Technology","Accessories",179.94,6,0,75.5748
8186,"Second Class","Home Office","United States","Newark","Delaware",19711,"East","Office Supplies","Binders",299.52,9,0,149.76
3200,"Second Class","Consumer","United States","Houston","Texas",77070,"Central","Furniture","Furnishings",32.712,2,0.6,-26.1696
9234,"Standard Class","Corporate","United States","Phoenix","Arizona",85023,"West","Technology","Phones",195.96,5,0.2,19.596
2025,"Standard Class","Corporate","United States","Lawrence","Massachusetts",1841,"East","Furniture","Furnishings",56.56,4,0,14.7056
330,"Same Day","Consumer","United States","New York City","New York",10035,"East","Technology","Accessories",166.24,1,0,24.936
5914,"Second Class","Corporate","United States","Los Angeles","California",90032,"West","Office Supplies","Binders",31.248,7,0.2,10.9368
7345,"Second Class","Consumer","United States","Everett","Massachusetts",2149,"East","Office Supplies","Paper",40.99,1,0,20.0851
9925,"Second Class","Corporate","United States","Aurora","Illinois",60505,"Central","Office Supplies","Paper",23.688,9,0.2,7.6986
7135,"First Class","Home Office","United States","Los Angeles","California",90036,"West","Office Supplies","Fasteners",7.9,2,0,2.528
6462,"First Class","Consumer","United States","Pomona","California",91767,"West","Technology","Accessories",99.98,2,0,34.993
6057,"Standard Class","Consumer","United States","Chicago","Illinois",60653,"Central","Office Supplies","Appliances",26.406,3,0.8,-71.2962
3955,"First Class","Corporate","United States","San Francisco","California",94110,"West","Office Supplies","Appliances",43.26,3,0,14.2758
6814,"Standard Class","Consumer","United States","Omaha","Nebraska",68104,"Central","Furniture","Furnishings",1336.44,14,0,387.5676
3638,"Standard Class","Consumer","United States","Los Angeles","California",90008,"West","Technology","Accessories",1049.44,8,0,440.7648
6484,"Standard Class","Consumer","United States","New York City","New York",10011,"East","Office Supplies","Binders",9.728,2,0.2,3.2832
3139,"Same Day","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Envelopes",68.46,7,0,31.4916
9331,"Same Day","Consumer","United States","Columbia","South Carolina",29203,"South","Office Supplies","Binders",58.34,2,0,28.0032
4119,"Standard Class","Consumer","United States","Los Angeles","California",90036,"West","Office Supplies","Binders",121.6,5,0.2,39.52
1558,"Second Class","Corporate","United States","Lowell","Massachusetts",1852,"East","Office Supplies","Storage",1325.85,5,0,238.653
7610,"First Class","Home Office","United States","San Francisco","California",94110,"West","Technology","Phones",35.984,2,0.2,4.498
1614,"Second Class","Consumer","United States","Houston","Texas",77036,"Central","Furniture","Furnishings",8.752,4,0.6,-3.7196
9316,"Second Class","Consumer","United States","Encinitas","California",92024,"West","Technology","Accessories",119.98,2,0,57.5904
4219,"Standard Class","Consumer","United States","Redmond","Oregon",97756,"West","Office Supplies","Appliances",133.472,4,0.2,15.0156
790,"Second Class","Home Office","United States","Houston","Texas",77036,"Central","Office Supplies","Art",9.912,3,0.2,3.2214
4689,"Standard Class","Consumer","United States","Atlanta","Georgia",30318,"South","Office Supplies","Storage",46.74,3,0,11.685
6864,"Standard Class","Corporate","United States","Springfield","Virginia",22153,"South","Office Supplies","Envelopes",311.15,5,0,146.2405
5617,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Paper",110.96,2,0,53.2608
7082,"First Class","Consumer","United States","Oklahoma City","Oklahoma",73120,"Central","Furniture","Bookcases",341.96,2,0,54.7136
5421,"Same Day","Consumer","United States","New York City","New York",10009,"East","Technology","Phones",16.99,1,0,4.4174
4042,"Second Class","Corporate","United States","San Marcos","Texas",78666,"Central","Office Supplies","Storage",66.96,5,0.2,-13.392
8500,"Standard Class","Corporate","United States","Arlington","Virginia",22204,"South","Office Supplies","Envelopes",26.55,9,0,12.744
1659,"Standard Class","Consumer","United States","Portland","Oregon",97206,"West","Office Supplies","Paper",31.104,6,0.2,10.8864
9033,"First Class","Corporate","United States","Chicago","Illinois",60610,"Central","Office Supplies","Appliances",58.464,9,0.8,-146.16
517,"Standard Class","Corporate","United States","Florence","Kentucky",41042,"South","Office Supplies","Art",35.76,12,0,10.0128
509,"Standard Class","Home Office","United States","Paterson","New Jersey",7501,"East","Office Supplies","Labels",31.05,3,0,14.904
9430,"Standard Class","Home Office","United States","Los Angeles","California",90032,"West","Technology","Phones",249.584,2,0.2,31.198
34,"Second Class","Consumer","United States","Florence","South Carolina",29501,"South","Office Supplies","Storage",191.88,6,0,19.188
3928,"First Class","Consumer","United States","Dallas","Texas",75220,"Central","Furniture","Tables",307.314,3,0.3,-39.5118
6384,"Standard Class","Consumer","United States","Los Angeles","California",90045,"West","Office Supplies","Fasteners",15,3,0,7.2
5388,"Standard Class","Corporate","United States","Chicago","Illinois",60623,"Central","Office Supplies","Supplies",22.24,2,0.2,2.502
6184,"Second Class","Home Office","United States","Phoenix","Arizona",85023,"West","Furniture","Chairs",191.968,7,0.2,16.7972
6016,"First Class","Corporate","United States","New York City","New York",10009,"East","Office Supplies","Art",10.5,5,0,2.94
6393,"Second Class","Corporate","United States","Chicago","Illinois",60653,"Central","Office Supplies","Storage",250.272,9,0.2,15.642
7739,"Standard Class","Consumer","United States","Dallas","Texas",75220,"Central","Office Supplies","Supplies",11.184,1,0.2,0.8388
4628,"Second Class","Consumer","United States","North Las Vegas","Nevada",89031,"West","Furniture","Tables",1669.6,4,0,116.872
7607,"Second Class","Home Office","United States","Houston","Texas",77095,"Central","Office Supplies","Labels",2.464,1,0.2,0.8624
2838,"Standard Class","Consumer","United States","Dallas","Texas",75220,"Central","Office Supplies","Paper",3.528,1,0.2,1.1466
6928,"First Class","Corporate","United States","Tucson","Arizona",85705,"West","Technology","Phones",380.864,8,0.2,38.0864
4472,"First Class","Corporate","United States","Anaheim","California",92804,"West","Furniture","Furnishings",207.35,5,0,24.882
1949,"Same Day","Consumer","United States","New York City","New York",10009,"East","Furniture","Furnishings",18.84,3,0,6.0288
3422,"Standard Class","Corporate","United States","Wilson","North Carolina",27893,"South","Office Supplies","Storage",129.552,3,0.2,-22.6716
7621,"Standard Class","Consumer","United States","Jackson","Mississippi",39212,"South","Office Supplies","Art",264.18,7,0,68.6868
5755,"First Class","Home Office","United States","New York City","New York",10011,"East","Office Supplies","Paper",191.6,4,0,91.968
1694,"Standard Class","Corporate","United States","New York City","New York",10024,"East","Technology","Phones",1029.95,5,0,298.6855
7891,"Standard Class","Consumer","United States","Houston","Texas",77095,"Central","Office Supplies","Envelopes",604.656,9,0.2,204.0714
8458,"Second Class","Corporate","United States","Chicago","Illinois",60653,"Central","Office Supplies","Binders",3.564,3,0.8,-6.237
4263,"First Class","Consumer","United States","Pasadena","California",91104,"West","Office Supplies","Appliances",21.78,2,0,5.6628
3227,"Standard Class","Consumer","United States","Houston","Texas",77036,"Central","Office Supplies","Paper",117.456,3,0.2,44.046
2748,"Standard Class","Corporate","United States","Long Beach","New York",11561,"East","Furniture","Tables",991.764,3,0.4,-347.1174
8996,"Standard Class","Corporate","United States","Columbus","Georgia",31907,"South","Office Supplies","Paper",12.96,2,0,6.2208
3021,"First Class","Home Office","United States","San Diego","California",92105,"West","Furniture","Chairs",585.552,3,0.2,73.194
5324,"Standard Class","Consumer","United States","New York City","New York",10011,"East","Office Supplies","Labels",5.76,2,0,2.8224
1891,"Standard Class","Consumer","United States","Fort Worth","Texas",76106,"Central","Office Supplies","Appliances",3.16,4,0.8,-8.532
5413,"Second Class","Corporate","United States","Los Angeles","California",90045,"West","Furniture","Furnishings",289.24,7,0,26.0316
5440,"Standard Class","Consumer","United States","Jackson","Mississippi",39212,"South","Office Supplies","Paper",65.5,5,0,32.095
6067,"First Class","Consumer","United States","Pasadena","California",91104,"West","Office Supplies","Paper",46.76,7,0,22.4448
4051,"Second Class","Consumer","United States","San Francisco","California",94109,"West","Office Supplies","Storage",93.68,4,0,25.2936
4792,"Standard Class","Consumer","United States","Laredo","Texas",78041,"Central","Technology","Accessories",191.976,3,0.2,23.997
5747,"Second Class","Consumer","United States","Fayetteville","North Carolina",28314,"South","Office Supplies","Appliances",499.584,3,0.2,43.7136
2826,"Standard Class","Consumer","United States","Newark","Delaware",19711,"East","Technology","Phones",377.97,3,0,94.4925
498,"Standard Class","Corporate","United States","New York City","New York",10009,"East","Technology","Accessories",238,2,0,38.08
4464,"Second Class","Corporate","United States","New York City","New York",10011,"East","Furniture","Tables",313.176,2,0.4,-120.0508
7966,"Standard Class","Home Office","United States","Los Angeles","California",90045,"West","Office Supplies","Appliances",105.96,4,0,29.6688
2641,"Standard Class","Corporate","United States","New York City","New York",10011,"East","Technology","Accessories",90,5,0,16.2
6076,"Second Class","Consumer","United States","Springfield","Virginia",22153,"South","Technology","Accessories",99.98,2,0,7.9984
3574,"Standard Class","Corporate","United States","Chicago","Illinois",60610,"Central","Office Supplies","Paper",23.52,5,0.2,8.526
1909,"First Class","Consumer","United States","New York City","New York",10024,"East","Office Supplies","Storage",182.94,3,0,3.6588
8883,"Standard Class","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Binders",26.336,4,0.2,9.2176
2313,"Standard Class","Corporate","United States","Milwaukee","Wisconsin",53209,"Central","Furniture","Chairs",1526.56,7,0,427.4368
6992,"Standard Class","Home Office","United States","Eau Claire","Wisconsin",54703,"Central","Office Supplies","Binders",91.68,3,0,45.84
7996,"Standard Class","Corporate","United States","New York City","New York",10024,"East","Office Supplies","Binders",3.744,1,0.2,1.3104
4697,"Second Class","Corporate","United States","Columbia","South Carolina",29203,"South","Office Supplies","Paper",60.12,9,0,28.8576
2790,"Standard Class","Consumer","United States","San Francisco","California",94110,"West","Office Supplies","Labels",9.96,2,0,4.5816
5785,"First Class","Corporate","United States","Wilmington","Delaware",19805,"East","Furniture","Tables",199.836,4,0.3,-37.1124
2027,"Standard Class","Consumer","United States","San Antonio","Texas",78207,"Central","Technology","Machines",287.91,3,0.4,33.5895
2891,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Binders",25.92,6,0.2,9.072
4905,"Standard Class","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Binders",23.36,4,0.2,7.884
2074,"Second Class","Home Office","United States","Los Angeles","California",90045,"West","Office Supplies","Supplies",15.52,4,0,4.5008
4035,"First Class","Corporate","United States","Springfield","Oregon",97477,"West","Technology","Accessories",159.968,4,0.2,29.994
3033,"Same Day","Corporate","United States","Waco","Texas",76706,"Central","Office Supplies","Binders",0.556,1,0.8,-0.9452
6845,"Second Class","Consumer","United States","Los Angeles","California",90049,"West","Office Supplies","Binders",13.904,2,0.2,4.5188
8374,"First Class","Home Office","United States","Apple Valley","California",92307,"West","Technology","Phones",43.176,3,0.2,15.1116
8429,"Standard Class","Consumer","United States","Long Beach","New York",11561,"East","Office Supplies","Appliances",533.94,3,0,154.8426
1529,"Standard Class","Home Office","United States","New Rochelle","New York",10801,"East","Office Supplies","Paper",46.35,5,0,21.7845
6757,"Standard Class","Corporate","United States","Richmond","Indiana",47374,"Central","Office Supplies","Envelopes",64.02,6,0,29.4492
9734,"Standard Class","Consumer","United States","Passaic","New Jersey",7055,"East","Office Supplies","Envelopes",26.88,6,0,12.9024
1566,"Second Class","Consumer","United States","San Antonio","Texas",78207,"Central","Furniture","Chairs",104.93,5,0.3,-4.497
5351,"Second Class","Corporate","United States","Santa Barbara","California",93101,"West","Office Supplies","Paper",8.96,2,0,4.3904
8729,"Standard Class","Consumer","United States","New York City","New York",10011,"East","Office Supplies","Paper",318.96,9,0,149.9112
6831,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Technology","Accessories",199.98,2,0,83.9916
6949,"First Class","Consumer","United States","East Orange","New Jersey",7017,"East","Office Supplies","Paper",25.92,4,0,12.4416
8255,"Same Day","Consumer","United States","Houston","Texas",77036,"Central","Office Supplies","Storage",220.776,3,0.2,-44.1552
9689,"First Class","Corporate","United States","Dallas","Texas",75220,"Central","Furniture","Tables",127.785,1,0.3,-31.0335
84,"First Class","Consumer","United States","Edinburg","Texas",78539,"Central","Office Supplies","Binders",2.068,1,0.8,-3.4122
3036,"First Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Appliances",206.43,3,0,90.8292
8370,"Standard Class","Corporate","United States","Long Beach","New York",11561,"East","Office Supplies","Paper",61.4,5,0,28.858
9016,"Standard Class","Corporate","United States","Saint Louis","Missouri",63116,"Central","Office Supplies","Supplies",52.59,3,0,15.777
1864,"Standard Class","Home Office","United States","Dallas","Texas",75081,"Central","Office Supplies","Binders",5.792,2,0.8,-9.5568
3976,"Standard Class","Consumer","United States","Los Angeles","California",90049,"West","Furniture","Chairs",184.752,3,0.2,-20.7846
3685,"First Class","Home Office","United States","New York City","New York",10035,"East","Office Supplies","Paper",55.48,1,0,26.6304
4104,"Same Day","Consumer","United States","Bolingbrook","Illinois",60440,"Central","Office Supplies","Fasteners",12.032,8,0.2,2.256
3069,"Standard Class","Corporate","United States","Columbus","Georgia",31907,"South","Office Supplies","Envelopes",11.36,2,0,5.3392
3189,"Second Class","Corporate","United States","West Allis","Wisconsin",53214,"Central","Furniture","Bookcases",241.96,2,0,24.196
5090,"Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Furniture","Chairs",362.352,3,0.2,45.294
5134,"First Class","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Binders",25.32,5,0.2,9.1785
4836,"Standard Class","Consumer","United States","Tyler","Texas",75701,"Central","Office Supplies","Binders",182.994,3,0.8,-320.2395
7790,"Standard Class","Home Office","United States","Dallas","Texas",75081,"Central","Office Supplies","Envelopes",12.224,2,0.2,4.4312
5879,"Standard Class","Consumer","United States","Dallas","Texas",75220,"Central","Office Supplies","Supplies",51.52,5,0.2,-10.948
116,"Standard Class","Home Office","United States","Milwaukee","Wisconsin",53209,"Central","Office Supplies","Supplies",21.81,3,0,5.8887
1631,"Standard Class","Home Office","United States","Houston","Texas",77041,"Central","Furniture","Chairs",212.058,3,0.3,-15.147
7804,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Furniture","Bookcases",681.408,12,0.2,42.588
8129,"Standard Class","Consumer","United States","Woodland","California",95695,"West","Technology","Phones",239.984,2,0.2,23.9984
1616,"First Class","Corporate","United States","San Francisco","California",94110,"West","Technology","Phones",95.84,4,0.2,34.742
8599,"Standard Class","Corporate","United States","New York City","New York",10011,"East","Furniture","Furnishings",13.96,2,0,6.7008
8714,"Standard Class","Consumer","United States","Laredo","Texas",78041,"Central","Furniture","Furnishings",139.92,5,0.6,-150.414
1281,"Standard Class","Home Office","United States","Austin","Texas",78745,"Central","Office Supplies","Paper",6.848,2,0.2,2.14
4307,"Standard Class","Home Office","United States","Chandler","Arizona",85224,"West","Furniture","Furnishings",8.544,4,0.2,1.9224
5786,"First Class","Corporate","United States","Springfield","Oregon",97477,"West","Technology","Accessories",91.176,3,0.2,4.5588
6510,"Standard Class","Consumer","United States","Henderson","Kentucky",42420,"South","Furniture","Furnishings",24.1,5,0,9.158
8272,"Second Class","Home Office","United States","Bayonne","New Jersey",7002,"East","Technology","Accessories",63.96,4,0,19.8276
3498,"First Class","Home Office","United States","New York City","New York",10035,"East","Technology","Phones",71.76,6,0,20.0928
8556,"Standard Class","Corporate","United States","Tigard","Oregon",97224,"West","Office Supplies","Paper",60.048,9,0.2,22.518
2800,"First Class","Consumer","United States","Frankfort","Illinois",60423,"Central","Office Supplies","Paper",76.864,2,0.2,26.9024
3768,"Standard Class","Consumer","United States","Frankfort","Illinois",60423,"Central","Office Supplies","Appliances",20.768,8,0.8,-52.9584
5254,"Standard Class","Consumer","United States","Los Angeles","California",90008,"West","Office Supplies","Paper",45.36,7,0,21.7728
2716,"First Class","Corporate","United States","Springfield","Oregon",97477,"West","Furniture","Chairs",478.48,2,0.2,47.848
9720,"First Class","Corporate","United States","New York City","New York",10035,"East","Office Supplies","Paper",80.88,3,0,39.6312
7013,"Standard Class","Consumer","United States","Los Angeles","California",90045,"West","Technology","Machines",447.968,4,0.2,139.99
7011,"Standard Class","Consumer","United States","Long Beach","New York",11561,"East","Office Supplies","Appliances",8.74,2,0,2.2724
748,"Standard Class","Consumer","United States","New York City","New York",10024,"East","Office Supplies","Paper",11.56,2,0,5.6644
7380,"First Class","Consumer","United States","Los Angeles","California",90004,"West","Technology","Accessories",29.99,1,0,6.2979
77,"Standard Class","Consumer","United States","Newark","Delaware",19711,"East","Office Supplies","Binders",447.86,7,0,219.4514
2853,"Standard Class","Corporate","United States","Long Beach","California",90805,"West","Office Supplies","Art",2.94,1,0,0.7938
8783,"Standard Class","Consumer","United States","Chicago","Illinois",60653,"Central","Technology","Phones",39.984,2,0.2,-8.9964
9405,"Standard Class","Consumer","United States","New York City","New York",10011,"East","Office Supplies","Paper",49.12,4,0,23.0864
1227,"Standard Class","Consumer","United States","Los Angeles","California",90008,"West","Office Supplies","Labels",23.04,8,0,11.2896
9183,"Standard Class","Corporate","United States","Houston","Texas",77095,"Central","Technology","Phones",946.344,7,0.2,118.293
4778,"Standard Class","Corporate","United States","New York City","New York",10035,"East","Office Supplies","Paper",65.78,11,0,32.2322
5468,"First Class","Corporate","United States","San Antonio","Texas",78207,"Central","Furniture","Tables",718.116,6,0.3,-71.8116
1577,"Standard Class","Corporate","United States","San Antonio","Texas",78207,"Central","Technology","Phones",180.96,5,0.2,13.572
4159,"Same Day","Consumer","United States","Wheeling","West Virginia",26003,"East","Furniture","Tables",673.344,3,0.3,-76.9536
9657,"Standard Class","Corporate","United States","San Francisco","California",94122,"West","Office Supplies","Binders",271.984,2,0.2,88.3948
6217,"Second Class","Consumer","United States","Long Beach","California",90805,"West","Office Supplies","Storage",153.78,11,0,44.5962
3217,"Standard Class","Consumer","United States","San Francisco","California",94122,"West","Furniture","Furnishings",201.04,8,0,54.2808
1527,"Standard Class","Consumer","United States","Phoenix","Arizona",85023,"West","Office Supplies","Paper",106.232,7,0.2,37.1812
873,"Second Class","Consumer","United States","Henderson","Kentucky",42420,"South","Furniture","Bookcases",261.96,2,0,41.9136
8351,"Standard Class","Corporate","United States","Dallas","Texas",75220,"Central","Office Supplies","Envelopes",149.352,3,0.2,50.4063
9412,"Second Class","Home Office","United States","Long Beach","New York",11561,"East","Office Supplies","Fasteners",7.56,6,0,0.3024
2585,"Second Class","Corporate","United States","Los Angeles","California",90004,"West","Office Supplies","Art",70.95,3,0,18.447
6825,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Paper",12.96,2,0,6.2208
1251,"Standard Class","Corporate","United States","Jackson","Mississippi",39212,"South","Office Supplies","Paper",12.96,2,0,6.3504
2734,"Second Class","Home Office","United States","Danville","California",94526,"West","Office Supplies","Art",8.8,5,0,4.224
3194,"Second Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Labels",25.83,7,0,12.1401
1065,"First Class","Home Office","United States","San Francisco","California",94122,"West","Office Supplies","Paper",32.4,5,0,15.552
332,"Second Class","Consumer","United States","Jackson","Mississippi",39212,"South","Furniture","Chairs",866.4,4,0,225.264
8590,"Second Class","Corporate","United States","Anaheim","California",92804,"West","Office Supplies","Storage",1295.78,2,0,310.9872
3985,"Second Class","Home Office","United States","Los Angeles","California",90036,"West","Office Supplies","Storage",158.9,5,0,7.945
4862,"First Class","Corporate","United States","Los Angeles","California",90049,"West","Technology","Accessories",254.24,7,0,76.272
1610,"First Class","Consumer","United States","Scottsdale","Arizona",85254,"West","Office Supplies","Paper",56.064,4,0.2,19.6224
821,"Standard Class","Corporate","United States","Chico","California",95928,"West","Furniture","Furnishings",72.9,5,0,26.973
489,"Standard Class","Home Office","United States","Sandy Springs","Georgia",30328,"South","Office Supplies","Art",14.28,4,0,3.7128
3453,"Standard Class","Home Office","United States","Los Angeles","California",90049,"West","Office Supplies","Paper",21.4,5,0,9.63
6724,"Standard Class","Corporate","United States","Chicago","Illinois",60610,"Central","Office Supplies","Paper",15.696,3,0.2,5.1012
4676,"Standard Class","Corporate","United States","San Francisco","California",94122,"West","Technology","Accessories",129.45,5,0,46.602
3576,"Standard Class","Home Office","United States","Waterbury","Connecticut",6708,"East","Office Supplies","Storage",38.62,2,0,10.8136
4343,"Standard Class","Corporate","United States","Lafayette","Louisiana",70506,"South","Office Supplies","Paper",19.44,3,0,9.3312
7095,"Second Class","Corporate","United States","New York City","New York",10009,"East","Office Supplies","Binders",8.544,2,0.2,2.8836
6754,"Standard Class","Consumer","United States","Jackson","Mississippi",39212,"South","Office Supplies","Storage",173.8,5,0,43.45
3950,"Standard Class","Corporate","United States","Columbus","Georgia",31907,"South","Office Supplies","Binders",319.9,5,0,156.751
2928,"Second Class","Home Office","United States","New York City","New York",10011,"East","Office Supplies","Binders",75.792,3,0.2,25.5798
7719,"Same Day","Consumer","United States","Houston","Texas",77041,"Central","Office Supplies","Binders",1.112,2,0.8,-1.8904
7950,"Standard Class","Consumer","United States","Charlotte","North Carolina",28205,"South","Technology","Phones",27.992,1,0.2,2.0994
6233,"Standard Class","Consumer","United States","Columbus","Indiana",47201,"Central","Office Supplies","Paper",7.98,1,0,3.99
8080,"Standard Class","Consumer","United States","Houston","Texas",77041,"Central","Office Supplies","Binders",2.934,3,0.8,-4.9878
9049,"Second Class","Corporate","United States","El Paso","Texas",79907,"Central","Technology","Accessories",95.976,3,0.2,-10.7973
5309,"Standard Class","Corporate","United States","Henderson","Kentucky",42420,"South","Office Supplies","Storage",828.84,6,0,0
742,"Standard Class","Consumer","United States","Chicago","Illinois",60623,"Central","Furniture","Furnishings",5.584,2,0.6,-1.6752
4592,"Second Class","Corporate","United States","Dallas","Texas",75081,"Central","Technology","Phones",492.768,4,0.2,55.4364
9197,"First Class","Corporate","United States","Chesapeake","Virginia",23320,"South","Office Supplies","Labels",15,4,0,7.2
3306,"Same Day","Consumer","United States","San Francisco","California",94122,"West","Office Supplies","Supplies",31.92,4,0,9.2568
8409,"Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Art",11.52,4,0,3.456
8524,"Standard Class","Corporate","United States","Newark","Delaware",19711,"East","Office Supplies","Paper",68.04,6,0,33.3396
5721,"Standard Class","Consumer","United States","Monroe","Louisiana",71203,"South","Technology","Accessories",53.7,6,0,10.203
4738,"Standard Class","Consumer","United States","Wilson","North Carolina",27893,"South","Furniture","Furnishings",163.136,4,0.2,20.392
4270,"Standard Class","Consumer","United States","Great Falls","Montana",59405,"West","Office Supplies","Storage",87.08,7,0,24.3824
3494,"Standard Class","Consumer","United States","Athens","Georgia",30605,"South","Office Supplies","Paper",15.84,3,0,7.128
8335,"Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Technology","Accessories",659.9,2,0,217.767
4361,"First Class","Consumer","United States","San Francisco","California",94110,"West","Office Supplies","Appliances",45.28,4,0,15.3952
25,"Standard Class","Corporate","United States","Dover","New Hampshire",3820,"East","Office Supplies","Paper",35.88,6,0,16.146
2283,"Standard Class","Consumer","United States","Yonkers","New York",10701,"East","Office Supplies","Storage",362.92,2,0,105.2468
8380,"Standard Class","Home Office","United States","Burbank","California",91505,"West","Office Supplies","Storage",1856.19,7,0,334.1142
9783,"Second Class","Corporate","United States","Houston","Texas",77070,"Central","Office Supplies","Paper",25.92,5,0.2,9.072
939,"Second Class","Corporate","United States","Aurora","Illinois",60505,"Central","Furniture","Chairs",253.372,2,0.3,-14.4784
2978,"Standard Class","Corporate","United States","New York City","New York",10024,"East","Furniture","Tables",1579.746,7,0.4,-447.5947
9584,"Standard Class","Home Office","United States","Revere","Massachusetts",2151,"East","Office Supplies","Paper",19.44,3,0,9.3312
4314,"Standard Class","Home Office","United States","Alexandria","Virginia",22304,"South","Technology","Phones",155.35,13,0,0
2944,"Standard Class","Consumer","United States","Omaha","Nebraska",68104,"Central","Office Supplies","Appliances",378,2,0,136.08
8558,"Standard Class","Home Office","United States","Rochester","New York",14609,"East","Office Supplies","Binders",33.376,4,0.2,10.43
6606,"Second Class","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Storage",221.55,3,0,6.6465
2660,"Standard Class","Home Office","United States","Fresno","California",93727,"West","Office Supplies","Paper",110.96,2,0,53.2608
