"id","date","location","min_temp","max_temp","rainfall","evaporation","sunshine","wind_gust_dir","wind_gust_speed","wind_dir9am","wind_dir3pm","wind_speed9am","wind_speed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","cloud9am","cloud3pm","temp9am","temp3pm","rain_today","rain_tomorrow"
30292,2016-10-02,"Brisbane",12.3,26.9,0,NA,NA,"ENE",26,"WSW","ENE",4,15,36,34,1017,1012.3,0,7,21.5,24.8,0,0
35668,2012-08-01,"Portland",3.3,13.7,0.2,NA,NA,"WSW",19,"N","SW",7,6,94,74,1027.4,1023.4,3,5,8.3,12.4,0,0
48557,2012-10-26,"Portland",6.9,14.9,1.4,NA,NA,"W",57,"W","SSW",28,26,86,76,1014.6,1015.6,8,8,10.6,12.4,1,1
46243,2017-01-28,"BadgerysCreek",16.2,39.4,0,NA,NA,"NE",37,"NNE","NNE",11,9,75,29,1016,1010.6,NA,NA,23.9,37.6,0,0
26347,2016-03-24,"Launceston",10.7,23.1,0,NA,NA,"NNW",33,"ESE","NNW",6,15,75,44,NA,NA,8,NA,14.3,22.9,0,0
25695,2012-09-11,"Moree",9.1,26.1,0,NA,NA,"ENE",56,"N",NA,22,0,56,29,1024.5,1019.7,2,3,19.2,25.6,0,0
38562,2017-02-22,"NorfolkIsland",20.7,26.3,0,NA,NA,"E",33,"ESE","E",15,20,62,72,1016.8,1015.1,8,8,24.9,24.2,0,0
46056,2016-07-29,"Dartmoor",9.7,14.9,1.4,NA,NA,"W",30,"NW","W",9,9,95,77,1021.6,1020.2,NA,NA,11.6,14.4,1,1
6943,2015-10-04,"Brisbane",14.2,29,0,NA,NA,"NE",17,"WSW","NE",4,7,64,40,1029.3,1024.9,0,0,22.3,27.7,0,0
15372,2014-03-26,"Albany",19.3,23.2,0,NA,FALSE,NA,NA,NA,"ESE",0,6,86,71,1019.8,1016.9,8,8,20.2,22.6,0,0
21373,2017-02-27,"WaggaWagga",12.8,31.4,0,NA,NA,"ENE",39,"E","ENE",15,17,44,28,1023.3,1019.8,NA,1,20.8,30.3,0,0
41794,2012-01-28,"Townsville",26.3,31.7,3.6,NA,NA,"N",43,"N","N",22,26,73,69,1003.2,1000.5,7,6,29.7,30.8,1,0
19090,2010-03-26,"NorfolkIsland",19.3,25,0.4,NA,NA,"SE",37,"SE","SE",20,19,72,61,1022.9,1021,7,1,21.2,22.7,0,0
39165,2014-12-30,"NorfolkIsland",21.6,25.2,0,NA,NA,"NE",33,"NNE","NNE",17,17,80,74,1015.1,1013.6,7,8,23.4,23.4,0,1
11166,2016-07-29,"Moree",0.8,16.3,0,NA,NA,"SW",28,"W","WSW",6,19,82,43,1025.6,1022.3,NA,NA,6.9,15.3,0,0
16615,2012-06-23,"Dartmoor",4.5,13.6,0.6,TRUE,NA,"W",35,"NNW","WNW",11,22,99,90,1022.2,1022.3,NA,NA,6.5,11.9,0,1
44954,2011-01-03,"BadgerysCreek",16.9,20.5,0.8,NA,NA,"S",39,"SW","ESE",7,13,94,97,1015.3,1012.5,NA,NA,17.9,17.6,0,1
26909,2015-10-01,"Wollongong",13.9,21,2.4,NA,NA,"NE",46,"NE","NE",20,35,78,80,1026,1022.5,8,NA,20,20.5,1,0
9965,2011-01-16,"Ballarat",14.4,26.8,0,NA,NA,"S",35,"W","W",2,17,100,59,1009.1,1006.7,3,NA,17.7,26.6,0,0
36279,2011-08-14,"Bendigo",1.4,16.8,0,NA,NA,"N",19,"SSE","N",11,6,84,55,1026.5,1023.7,1,5,8.9,15.3,0,0
19709,2012-01-23,"NorfolkIsland",20.3,24.6,0,NA,NA,"ESE",46,"SE","SE",19,24,75,73,1015.2,1014.9,4,5,23.2,23.5,0,1
17821,2017-02-23,"Richmond",15.5,37,0,NA,NA,"NE",31,"SE","NE",6,13,74,31,1019.7,1015.4,NA,NA,21.5,35.3,0,0
46616,2016-09-04,"MountGambier",8,15.3,4.2,NA,NA,"NW",44,"NNW","WNW",13,30,91,63,1023.2,1024,5,8,12.1,14.6,1,0
19193,2015-09-01,"MelbourneAirport",1.2,16.4,0,NA,NA,"N",61,"N","NNW",9,6,70,42,1017.6,1013.8,1,3,8.2,16.1,0,0
11647,2013-04-03,"Uluru",15,29.9,0,NA,NA,"E",46,"ESE","ENE",26,22,43,23,1019.1,1014.8,NA,NA,21.5,28.8,0,0
48385,2010-03-29,"Portland",14.4,19,6.8,NA,NA,"WNW",35,"SW","SSW",13,17,86,63,1015.2,1017.6,6,6,15.7,17,1,0
23841,2013-05-21,"Nhil",6.3,14.8,4.8,NA,NA,"ENE",35,"ENE","ENE",15,20,87,66,1017.8,1014.2,NA,NA,8.2,14.3,1,1
16264,2015-09-01,"SydneyAirport",8.6,17.4,0,NA,NA,"W",39,"WSW","SE",24,17,46,42,1015.7,1013.4,1,1,13.5,16.2,0,0
36962,2017-02-03,"MountGinini",8.7,22.7,0,NA,NA,"WNW",30,"WNW","W",17,9,41,29,NA,NA,NA,NA,12.2,20.9,0,0
41587,2010-07-30,"AliceSprings",16.3,21.9,0,NA,FALSE,"SSW",39,"NNW","SSW",11,15,76,94,1015.9,1017.7,7,8,19.9,14.3,0,1
11604,2013-10-10,"Bendigo",10.2,24.7,0,NA,NA,"NNW",44,"N","SW",4,19,57,61,1002.6,1007,NA,2,16.3,17.6,0,0
44391,2010-05-12,"WaggaWagga",2.9,14.3,0,NA,NA,"SW",30,"W","SSW",11,15,71,45,1022.3,1021.6,1,1,8,13.8,0,0
47945,2015-05-25,"Sydney",9.4,19.5,0,NA,NA,"W",26,"WNW","NNW",11,7,84,52,1032.2,1028.5,7,7,11.4,18.2,0,0
44341,2012-06-03,"Sydney",14,15.3,27.4,NA,FALSE,"SSE",24,"WNW","SSE",11,15,96,94,1014.6,1010.6,NA,NA,14.2,15.2,1,1
49987,2012-01-01,"Launceston",14.5,27.9,0,NA,NA,"NW",33,"NNE","NW",4,22,71,55,1017,1014.6,NA,NA,19.6,26.4,0,0
48658,2015-04-29,"Portland",8.2,14.2,0.4,NA,NA,"SSE",22,"E","S",4,9,90,86,1032.9,1030.6,7,8,11.9,12.7,0,0
5548,2008-05-19,"Canberra",-2.7,18.1,0,NA,NA,"W",52,NA,"WNW",0,24,85,36,1017.8,1014.3,1,1,3.5,16.7,0,0
34204,2010-06-24,"Moree",11.4,20.9,0,NA,NA,"ENE",31,"E","NE",15,15,61,44,1029.4,1024.6,6,6,14.9,20.2,0,0
32477,2011-07-30,"Richmond",-0.6,20.4,0,NA,NA,"N",22,NA,"NNE",0,15,99,30,1025.1,1020.1,NA,NA,6,20.1,0,0
31798,2010-12-01,"BadgerysCreek",16.5,20.4,28.8,NA,NA,"E",37,"E","NE",15,13,99,93,1016.4,1015.7,NA,NA,18.2,20,1,1
16224,2015-01-29,"Albany",19.2,28.9,2.8,NA,NA,NA,NA,"SE","SE",7,20,73,72,1011.3,1010.5,3,6,23.5,23.9,1,0
27283,2015-02-09,"WaggaWagga",18.4,34,0,NA,NA,"ENE",61,"ENE","ENE",31,22,46,24,1019.4,1018,0,1,25.1,33.1,0,0
32303,2014-03-17,"Watsonia",13.7,24.8,0.8,NA,NA,"N",46,"N","N",20,24,68,51,1012.2,1011.9,6,7,17,22.8,0,0
47259,2014-12-28,"Bendigo",13.4,31.6,0,NA,NA,"SSE",33,"ESE","NNE",13,15,49,15,1015.1,1009.7,NA,NA,20.4,29.6,0,0
40465,2017-05-27,"NorfolkIsland",17.4,21.1,0.4,NA,NA,"SSW",35,"S","S",15,19,68,63,1019.5,1018,4,1,19.4,19.5,0,0
18264,2012-04-03,"PearceRAAF",17.6,26.4,3.6,NA,NA,"W",48,"NW","WNW",13,33,90,52,1017.6,1016.1,8,7,20.7,25.7,1,0
2718,2014-02-25,"Katherine",23.3,34.8,0,NA,NA,"NW",31,"NW","NW",17,19,75,49,1009.6,1005.3,2,4,28.6,33.2,0,0
40162,2012-11-10,"Walpole",12,18.7,0.4,NA,NA,"WSW",37,"WNW","SW",15,13,94,78,1012,1011.3,NA,NA,15.8,15.8,0,1
11941,2016-01-11,"Albury",17.7,39.2,0,NA,NA,"WNW",56,"SE","W",9,7,46,13,1011.6,1007.5,NA,8,26,37,0,0
44916,2014-10-10,"Watsonia",10.1,23.9,0.2,NA,NA,"N",35,"ENE","N",9,13,61,45,1014.9,1012.8,7,7,16.5,20.5,0,0
47324,2012-08-25,"Richmond",5.8,20.1,0,NA,NA,"WNW",35,"ENE","NW",6,22,44,32,1018.4,1015.3,NA,NA,14.5,19.8,0,0
12946,2017-03-16,"NorfolkIsland",19,25,0.2,NA,NA,"ENE",52,"E","E",24,26,62,68,1020.7,1018,NA,8,23.6,23.5,0,1
34235,2016-03-11,"Penrith",23.3,31.1,0,NA,NA,"WSW",30,"SSW","SSE",7,6,87,56,NA,NA,NA,NA,23.7,28.7,0,1
42671,2015-03-03,"Canberra",13.3,28.3,NA,NA,NA,"NE",28,"S","W",6,11,70,46,1015.5,1012.8,NA,NA,17.9,27.1,NA,0
4721,2009-02-09,"MountGambier",9.3,20.1,0,NA,NA,"S",54,"S","SSW",19,24,53,26,1020.3,1019.3,7,4,15.1,19,0,0
5521,2011-10-19,"CoffsHarbour",13.1,21.4,0.6,NA,NA,"WSW",31,"WSW","ESE",20,15,60,48,1031.2,1028.6,3,2,18.5,20.9,0,0
28674,2012-11-27,"Hobart",12.9,19.5,0,NA,NA,"SSW",28,"SSE","SE",11,19,84,65,1019.3,1019,NA,NA,13.5,16.3,0,0
7211,2014-10-22,"Hobart",10,25.6,0,NA,NA,"N",48,"NNW","ESE",19,17,51,42,1018.9,1013.6,7,6,14.1,21.1,0,0
14984,2017-06-14,"Williamtown",12.9,19.3,13.2,NA,NA,"SW",24,"SSW","WSW",13,9,98,79,1030.5,1027.7,7,3,15.3,18.8,1,1
13311,2013-07-14,"Mildura",13.2,20.2,6,NA,NA,"N",44,"N","NNW",26,15,79,60,1017.2,1015.3,7,3,14.3,19.9,1,0
37687,2010-11-29,"Albany",15.6,31.1,0,NA,NA,NA,NA,"NE","ESE",11,30,46,66,1018.4,1014.2,0,0,23,22.1,0,0
34898,2016-06-16,"Albury",0,12.9,0,NA,NA,"ESE",17,NA,"ESE",0,11,95,70,1026,1019.7,NA,8,4.1,12.8,0,1
10374,2015-04-16,"Cobar",17.4,33.8,0,NA,NA,"SW",41,"NNE","WNW",9,9,48,24,1023.4,1019.1,3,7,24.5,32.9,0,0
27191,2014-07-02,"Sydney",7.4,20.2,0,NA,NA,"W",37,"W","SSE",28,13,67,36,1027.6,1025.2,1,1,9.6,19.2,0,0
26972,2017-01-23,"NorfolkIsland",19.1,24.4,5.8,NA,NA,"SSE",41,"SE","SE",20,22,52,47,1014.4,1014.9,8,NA,21.7,23.1,1,0
4061,2016-09-12,"SydneyAirport",12.3,21.4,0,NA,NA,"ENE",30,"W","ENE",13,24,45,52,1021.4,1018.4,3,3,17.2,18.5,0,0
40076,2016-10-28,"SalmonGums",6.3,30.4,0,NA,NA,"SSE",33,"ESE","SSE",15,7,51,14,NA,NA,NA,NA,19.2,29.7,0,0
2958,2013-10-07,"Katherine",24.8,39,0,NA,NA,"NNE",43,"NW","SSE",11,13,48,21,1011.2,1006.4,0,4,31,38.4,0,0
8673,2014-10-22,"Ballarat",12.7,27,0,NA,NA,"NW",63,"NNE","N",31,24,67,49,1020.9,1018.1,4,7,16.8,24.1,0,0
12466,2017-06-18,"PerthAirport",10,23.3,0,NA,NA,"NE",35,"ENE","WSW",17,9,61,39,1027,1022.8,0,0,14.1,22.4,0,0
21053,2014-02-13,"Cobar",25.1,41.2,0,NA,NA,"SW",48,"ENE","SSW",19,20,38,12,1007.6,1004.5,3,7,29.1,39.7,0,1
22991,2015-07-16,"Uluru",2.1,16.7,0,NA,NA,"ESE",39,"ESE","E",20,13,54,33,1027.9,1024.5,7,NA,10,15.8,0,0
12050,2011-08-28,"CoffsHarbour",12.2,20.9,25,NA,NA,"SSW",35,"SW","SSE",17,15,70,62,1019.7,1017.2,1,1,17.3,20,1,0
29129,2014-11-16,"Sale",11,18.4,34.2,NA,NA,"W",56,"SW","WSW",17,33,92,61,1006.8,1007.7,8,6,11.1,16.4,1,1
20580,2012-06-25,"Dartmoor",8.6,14.5,1.6,NA,NA,"W",37,NA,"S",0,17,100,93,1029.7,1029.6,NA,NA,9,12.5,1,0
32031,2017-05-14,"Watsonia",2.5,14.3,0,NA,NA,"E",15,"ENE","NE",2,4,100,75,1024.1,1021.7,2,7,5.4,13.9,0,0
33294,2016-03-26,"Woomera",14.8,27.2,0,NA,NA,"SSE",44,"S","S",31,20,66,28,1021.9,1019.9,NA,NA,16.9,25.9,0,0
41491,2013-10-18,"Wollongong",12.1,19.4,0,NA,NA,"SW",43,"S","ENE",24,19,37,44,1026.2,1025.2,NA,NA,16.6,18.7,0,0
35415,2010-03-11,"MountGambier",8,19.5,0,NA,NA,"SSE",41,"S","SSE",15,24,81,50,1035.9,1034.5,7,8,14.3,18.1,0,0
13137,2009-03-20,"Dartmoor",5.2,23.6,0,NA,NA,"SSW",28,NA,"W",0,6,98,50,1016.5,1013.5,NA,NA,9.7,22.4,0,0
32144,2017-04-14,"Hobart",8.9,16.5,0,NA,NA,"SW",52,"WSW","SW",6,22,44,42,1021.3,1020,2,5,13.6,14.3,0,0
33358,2010-03-15,"Nuriootpa",13,32.4,0,NA,NA,"WSW",43,"NE","WNW",4,19,44,25,1022.1,1019.1,2,5,22.1,30.6,0,0
27613,2012-04-21,"GoldCoast",19.8,25.8,4.2,NA,NA,"SE",30,"E","ESE",9,17,77,76,1014.4,1011.7,NA,NA,23.4,25,1,0
4431,2009-11-25,"Mildura",17.8,35.3,0,NA,NA,"WNW",46,"SE","ENE",17,15,51,28,1018.3,1012.8,6,3,22.9,34.5,0,1
44138,2016-05-19,"NorahHead",11.3,22.8,0,NA,NA,"SW",33,"WNW","W",9,6,53,36,1018,1013.5,NA,NA,16,22.4,0,0
48431,2011-11-03,"Canberra",11.2,21.9,0,NA,NA,NA,NA,"SE","WNW",7,17,76,35,1011.8,1010.3,6,5,13.6,21,0,0
39050,2012-09-12,"Ballarat",6.4,18.6,0,NA,NA,"NNW",56,"N","NNW",31,37,74,43,1016.7,1010.7,NA,NA,11.7,17.6,0,1
44316,2009-03-27,"Sale",7.5,22.4,0,NA,NA,"ESE",33,"NW","NW",11,19,76,36,1026.7,1024.2,1,5,13.3,21.2,0,0
7003,2012-11-22,"Albany",16.4,24.9,0,NA,NA,NA,NA,"SE","SSE",9,13,80,76,1010.8,1006.5,4,4,20.7,22.9,0,0
30559,2011-09-06,"PerthAirport",6.3,20.6,0,NA,NA,"SW",41,"SSE","S",17,13,61,37,1034.3,1030.9,1,1,13.9,20.5,0,0
43217,2014-05-14,"Perth",13.2,21.6,0,NA,NA,"WNW",30,"NNE","WNW",4,7,79,61,1019.9,1017.1,8,6,15.8,20.4,0,0
3427,2016-12-02,"Katherine",NA,39.1,NA,NA,NA,"E",61,"NNW","NNW",9,15,NA,NA,1008.5,1006,NA,NA,NA,NA,NA,1
46473,2013-01-20,"Melbourne",14.5,25,0,NA,NA,"SSW",37,"SE","SSE",19,17,57,52,1016.8,1013.8,NA,NA,18.3,22.9,0,0
46218,2016-08-21,"Cairns",20.1,27.7,0,NA,NA,"SE",33,"S","ESE",17,22,70,55,1015.6,1012.2,NA,NA,23.7,26.6,0,0
34892,2009-10-24,"Sale",4,20.2,0,NA,NA,"ENE",35,"WNW","SE",11,19,75,56,1019.7,1016.8,1,3,11.6,19.3,0,0
35497,2016-11-21,"BadgerysCreek",15.5,34.7,0,NA,NA,"N",31,"ENE","N",6,7,67,39,1018.2,1014.4,NA,NA,24.2,31.6,0,0
41443,2012-03-30,"Cairns",20.9,30.9,0,NA,NA,"SE",39,"S","SE",17,30,68,53,1012.6,1008.6,6,6,26.2,29.5,0,0
29552,2012-03-02,"Cairns",24.6,30.5,38.4,NA,NA,"E",28,"S","ENE",15,9,82,75,1008.3,1006,6,2,27.5,29.1,1,1
32673,2015-10-21,"Williamtown",16.6,34.1,0,NA,NA,"NNW",44,"NW","ESE",15,22,54,39,1014.7,1010.6,1,5,24.7,30.2,0,1
48704,2013-12-30,"Townsville",22,35.1,0,NA,NA,"N",31,"NNW","NE",15,24,60,47,1011,1008.4,3,1,30.2,32.3,0,0
33023,2013-04-02,"Tuggeranong",3.2,23.8,0,NA,NA,"WNW",24,NA,"WNW",0,11,87,37,1016.8,1013.9,NA,NA,8.2,23.1,0,0
4336,2014-04-13,"MelbourneAirport",10.9,20.4,0,NA,NA,"S",35,"S","SSE",13,24,85,55,1021.1,1020,7,6,14,19.7,0,0
6049,2013-03-22,"Moree",18.9,31.9,0,NA,NA,"NNE",43,"NNE","N",22,17,73,41,1019.6,1014.7,6,6,21.7,30.7,0,1
12278,2015-03-02,"Woomera",17,34,0,NA,NA,"SSE",56,"SE","NW",19,17,41,9,1012.9,1010.4,0,0,21.3,33.6,0,0
44523,2009-07-25,"Darwin",19.4,33.6,0,NA,NA,"E",41,"S","NW",13,24,75,41,1015.7,1011.9,3,5,24.9,30.4,0,0
17602,2011-09-02,"Richmond",10.2,18,0,NA,NA,"S",33,"SSE","SE",19,19,57,50,1030,1028.7,NA,NA,15.6,16.4,0,0
37878,2013-07-09,"Dartmoor",-1.9,13.1,0.4,NA,NA,"N",17,NA,"N",0,4,99,72,1036,1032.3,NA,NA,0.5,12,0,0
158,2016-01-16,"Perth",21.2,38.7,0,NA,NA,"NNE",39,"NE","WSW",20,17,27,24,1013.5,1011,7,6,32.4,35.2,0,0
38396,2010-06-29,"MelbourneAirport",5.6,9.3,0,NA,NA,"N",76,"N","N",35,39,75,74,1015.8,1014.6,7,7,6.3,7.9,0,1
24384,2014-12-31,"Adelaide",12.1,28.1,0,NA,NA,"SW",31,"NNE","WSW",2,13,58,39,1017.6,1013.4,NA,NA,18.4,26.8,0,0
25694,2015-12-08,"Darwin",26.1,34.3,0,NA,NA,"NNE",35,"S","N",13,15,75,58,1013.6,1009.5,7,7,28.7,32.5,0,1
19044,2014-01-23,"Brisbane",23.9,30.1,2.2,NA,NA,"SE",35,"NW","E",4,9,80,89,1016.6,1015.1,6,8,26.6,23.9,1,1
22608,2009-05-24,"Bendigo",14.4,22.6,0,NA,NA,"NNE",41,"NE","NNE",20,28,62,44,1023,1020.3,7,7,14.9,20.2,0,0
22643,2014-05-13,"Witchcliffe",7.3,19.9,1.4,NA,NA,"WNW",39,"N","NW",11,22,64,55,1020.3,1018.6,NA,NA,16.9,19,1,0
14650,2012-02-15,"MountGambier",17.1,36.7,0,NA,NA,"N",48,"NE","NNW",15,30,44,13,1013.1,1009.9,7,6,22.4,34.8,0,0
14443,2016-07-20,"PerthAirport",4.9,18.4,0,NA,NA,"N",33,"NNE","NW",13,17,65,44,1017.5,1012.7,1,3,9.9,18,0,1
49190,2010-04-11,"Townsville",21.2,29.4,0,NA,NA,"ENE",22,"NW","N",7,11,77,65,1013,1010.3,2,3,26.4,29,0,0
33194,2016-11-13,"SydneyAirport",18.2,30.8,0,NA,NA,"W",81,"SSW","WNW",9,48,40,16,998.6,995.6,1,1,23.1,27.8,0,0
17093,2010-10-23,"Watsonia",11.8,16.3,8,NA,NA,"WNW",50,"SSW","SSW",19,20,99,62,1017.8,1019.8,8,7,11.8,14.9,1,1
24170,2012-11-04,"Watsonia",9.2,28.8,0,NA,NA,"NW",35,"E","NNE",7,13,69,26,1015.6,1012.6,4,6,18.9,26.7,0,0
2545,2009-04-10,"Albany",16.2,21.4,0.2,NA,NA,NA,NA,"NE","ESE",7,28,67,64,1020.9,1015.6,8,0,17.2,19.5,0,0
10236,2014-05-23,"MountGinini",5.4,8.9,0,NA,NA,"W",67,"W","W",22,31,98,96,NA,NA,NA,NA,5.6,8.2,0,0
39890,2010-03-13,"GoldCoast",20.1,27.3,0.6,NA,NA,"SE",69,"SE","SSE",50,50,56,62,1027.5,1025.1,NA,NA,25.6,25.3,0,1
18480,2014-02-12,"Launceston",13.7,23.9,0,NA,NA,"NW",28,NA,"WNW",0,11,82,61,1018.9,1017.5,NA,NA,17.8,22.8,0,0
14835,2013-12-11,"Darwin",26.8,34,0,NA,NA,"NNW",30,"NNW","NNE",11,13,72,72,1008.4,1005.8,2,5,30.3,30.9,0,1
17314,2014-06-11,"Launceston",2.5,15.1,0,NA,NA,"NW",15,NA,"NNW",0,9,99,79,NA,NA,6,8,3.9,14.4,0,0
15744,2013-05-30,"SydneyAirport",11.7,22.8,0,NA,NA,"NE",28,"NW","NE",13,22,79,55,1029.3,1025.6,4,5,14.5,22,0,0
47375,2011-07-03,"SydneyAirport",7.7,20.8,0,NA,NA,"N",41,"NW","N",17,28,78,39,1022.1,1017.1,3,1,12,19.9,0,0
1252,2014-12-28,"Richmond",16.9,24.5,0,NA,NA,"NE",28,"E","NE",2,17,74,63,1019.1,1015.8,1,8,20.2,22.4,0,0
15926,2014-05-14,"Albury",4.9,18.8,0,NA,NA,"SSE",20,NA,"SE",0,9,88,65,1029.1,1025.6,6,8,9.8,18,0,0
29214,2012-10-13,"Witchcliffe",14.7,19.2,1,NA,NA,"W",67,"NNW","WNW",24,26,NA,NA,1010.1,1008.2,NA,NA,17.1,15.8,0,1
48562,2013-06-11,"Townsville",17,27.8,0,NA,NA,"E",37,"ESE","SE",13,17,68,67,1015.8,1013.4,6,7,23.3,25.3,0,0
38781,2014-12-28,"Williamtown",17.1,21.4,NA,NA,NA,"NE",22,NA,"NE",0,9,86,87,1018.8,1016.3,8,8,19.7,19.8,NA,1
30899,2010-10-03,"CoffsHarbour",15.3,18.7,90,NA,FALSE,"E",50,"SE","ESE",13,20,97,85,1026.3,1024.3,8,8,16.5,18.2,1,1
28746,2012-02-29,"Canberra",16.5,19.9,26.8,NA,FALSE,"E",39,"SSE","SE",13,22,91,72,1014.4,1013.9,8,8,17.5,18.9,1,1
22620,2014-03-17,"Richmond",NA,27.4,NA,NA,NA,"W",28,NA,"ENE",NA,6,NA,32,NA,1014.8,NA,NA,NA,26.1,NA,0
35400,2016-11-16,"Albany",17,18.2,0,NA,NA,NA,NA,"SW",NA,20,NA,85,NA,1002,1007.5,6,NA,17.5,NA,0,0
39239,2016-11-14,"Penrith",17.2,26.9,0,NA,NA,"S",46,"WSW","S",22,17,47,29,NA,NA,NA,NA,20.7,24.8,0,1
4914,2015-03-03,"Portland",6.5,20.9,0,NA,NA,"W",31,NA,"W",0,19,92,54,1018.3,1017.7,8,NA,14,19.7,0,0
42792,2013-11-16,"Newcastle",14.2,21.4,0.2,NA,NA,NA,NA,"SE","SE",9,19,68,85,NA,NA,8,7,19.2,18.5,0,1
29987,2015-11-18,"Hobart",12.2,22.7,0,NA,NA,"NW",33,"SE","E",20,19,59,64,1007.6,1008.4,2,1,17.1,18,0,0
1103,2015-03-04,"Walpole",10.6,24.3,0,NA,NA,"SE",41,"ENE","SE",13,20,66,53,1026.3,1024.1,NA,NA,18.7,22.9,0,0
27658,2011-10-15,"Perth",12.2,28.6,0,NA,NA,"ENE",26,"SE","SSE",13,11,59,34,1023.2,1018.9,1,7,19.7,28,0,0
31490,2015-03-07,"Moree",12,33.6,0,NA,NA,"N",28,NA,"N",0,11,30,12,1010.6,1007.8,NA,NA,19.4,31.7,0,0
36471,2011-12-22,"NorahHead",19.2,22.7,0,NA,NA,"SSE",26,"SSE","SE",17,20,81,91,1018.2,1017,NA,NA,20.1,19.2,0,1
4416,2017-03-23,"WaggaWagga",18.4,25.8,11,NA,NA,"E",39,"E","E",17,13,57,77,1016.5,1016.2,8,8,21.2,20.5,1,0
7162,2016-03-21,"Albury",12.4,25.2,0,NA,NA,"SSE",35,"SE","SE",19,19,54,34,1019.7,1016.5,NA,NA,16.6,24,0,0
5085,2011-05-17,"MelbourneAirport",8.2,14.8,0,NA,NA,"N",22,"WNW","SW",9,11,79,64,1031.9,1028.9,7,4,11.3,14.4,0,0
44420,2011-09-29,"Bendigo",8.9,15.5,43.6,NA,NA,"WSW",63,"WNW","WSW",19,28,91,40,995.2,995.9,8,7,9.5,14.9,1,0
29234,2011-02-26,"Woomera",21.9,38.8,0,NA,NA,"NNW",35,"NNE","NNE",15,15,37,13,1009.2,1006.7,0,0,27.9,37.4,0,0
42543,2012-05-26,"Mildura",9.2,17.7,0,NA,NA,"SW",37,"WNW","WSW",15,6,80,89,1019,1017.6,7,7,12.1,14.2,0,0
